parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters																
kPhRbD		log	0.000554401	0.055440055	0.000564345	1	0	uniform																	
kPhRbE		log	0.000693001	0.069300069	0.069186339	1	0	uniform																	
kDpRb		log	0.0001386	0.013860014	0.013822244	1	0	uniform																	
kPhRb		log	0.002079002	0.20790021	0.015477617	1	0	uniform																	
kSyCe1		log	1.39E-06	0.0001386	3.74E-05	1	0	uniform																	
kSyCe2		log	0.41580042	41.580042	0.751092246	1	0	uniform																	
kDeCe		log	1.39E-05	0.001386001	0.001324468	1	0	uniform																	
kDiE2fRb		log	3.47E-05	0.003465004	5.78E-05	1	0	uniform																	
kAsE2fRb		log	0.034650035	3.4650035	0.104239143	1	0	uniform																	
kSyE2f1		log	6.93E-07	6.93E-05	1.25E-06	1	0	uniform																	
kSyE2f2		log	0.069300069	6.9300069	0.21683728	1	0	uniform																	
kDeE2f1		log	6.93E-06	0.000693001	7.04E-06	1	0	uniform																	
kDeE2f2		log	0.0001386	0.013860014	0.000674395	1	0	uniform																	
kPhE2f		log	0.0001386	0.013860014	0.013859644	1	0	uniform																	
kDpE2f2		log	0.006930007	0.69300069	0.046603268	1	0	uniform																	
kSyEmi1		log	3.47E-06	0.0003465	5.95E-05	1	0	uniform																	
kSyEmi2		log	0.34650035	34.650035	1.20149758	1	0	uniform																	
kDeEmi1		log	3.47E-05	0.003465004	0.00020818	1	0	uniform																	
kDeEmi2		log	3.47E-05	0.003465004	0.000307484	1	0	uniform																	
kDeEmi3		log	0.0003465	0.034650035	0.034468118	1	0	uniform																	
kPhEmiA		log	3.47E-06	0.0003465	0.000344244	1	0	uniform																	
kPhEmiB		log	1.73E-05	0.001732502	1.83E-05	1	0	uniform																	
kDpEmi		log	3.47E-07	3.47E-05	3.81E-06	1	0	uniform																	
kSyCa1		log	6.93E-07	6.93E-05	1.09E-05	1	0	uniform																	
kSyCa2		log	0.051975052	5.1975052	2.945116475	1	0	uniform																	
kDeCa1		log	6.93E-07	6.93E-05	6.93E-07	1	0	uniform																	
kDeCa2		log	0.0002772	0.027720028	0.025255142	1	0	uniform																	
kDeCa3		log	6.93E-05	0.006930007	0.002365658	1	0	uniform																	
kDpCdh		log	0.0003465	0.034650035	0.000357605	1	0	uniform																	
kPhCdhA		log	0.001732502	0.17325017	0.0017325	1	0	uniform																	
kPhCdhE		log	6.93E-05	0.006930007	6.93E-05	1	0	uniform																	
kPhCdhB		log	0.017325017	1.7325017	0.123457895	1	0	uniform																	
kDiACE		log	3.47E-05	0.003465004	0.003142158	1	0	uniform																	
kAsACE		log	0.034650035	3.4650035	0.079019697	1	0	uniform																	
kDiACdh		log	3.47E-05	0.003465004	0.000152027	1	0	uniform																	
kAsACdh		log	0.034650035	3.4650035	0.034937556	1	0	uniform																	
kPhCeA		log	0.000693001	0.069300069	0.000694122	1	0	uniform																	
kPhCeE		log	6.93E-06	0.000693001	0.000693	1	0	uniform																	
kPhFoxE		log	6.93E-05	0.006930007	7.17E-05	1	0	uniform																	
kPhFoxA		log	6.93E-05	0.006930007	7.78E-05	1	0	uniform																	
kPhFoxB		log	0.0003465	0.034650035	0.014070121	1	0	uniform																	
kDpFox		log	3.47E-06	0.0003465	3.53E-06	1	0	uniform																	
kSyCb1		log	6.93E-07	6.93E-05	6.99E-06	1	0	uniform																	
kSyCb2		log	0.051975052	5.1975052	2.85302545	1	0	uniform																	
kDeCb1		log	6.93E-07	6.93E-05	2.81E-05	1	0	uniform																	
kDeCb2		log	8.66E-05	0.008662509	0.00010361	1	0	uniform																	
kDeCb3		log	8.66E-05	0.008662509	0.000503681	1	0	uniform																	
kPhEnsa		log	6.93E-05	0.006930007	0.000138203	1	0	uniform																	
kDpEnsa		log	3.47E-05	0.003465004	0.000151067	1	0	uniform																	
kPhGw		log	0.000693001	0.069300069	0.009365626	1	0	uniform																	
kDpGw1		log	0.00017325	0.017325017	0.009812211	1	0	uniform																	
kDpGw2		log	0.006930007	0.69300069	0.041263487	1	0	uniform																	
kWee1		log	6.93E-06	0.000693001	6.94E-06	1	0	uniform																	
kWee2		log	0.000693001	0.069300069	0.001658203	1	0	uniform																	
kPhWeeA		log	6.93E-05	0.006930007	0.000472238	1	0	uniform																	
kPhWeeB		log	0.000693001	0.069300069	0.069268443	1	0	uniform																	
kDpWee		log	0.006930007	0.69300069	0.024151376	1	0	uniform																	
kCdc25_1		log	6.93E-05	0.006930007	0.003724155	1	0	uniform																	
kCdc25_2		log	0.000693001	0.069300069	0.009045757	1	0	uniform																	
kDpCdc25		log	0.006930007	0.69300069	0.009547634	1	0	uniform																	
kDipEB55		log	4.71E-06	0.00047124	1.72E-05	1	0	uniform																	
kAspEB55		log	0.03950104	3.950104	0.090141271	1	0	uniform																	
kSyCdc_1		log	6.93E-07	6.93E-05	6.93E-07	1	0	uniform																	
kSyCdc_2		log	0.069300069	6.9300069	6.921916686	1	0	uniform																	
kDeCdc_1		log	2.77E-06	0.0002772	0.000189066	1	0	uniform																	
kDeCdc_2		log	2.77E-05	0.002772003	0.002771989	1	0	uniform																	
kDipACdc		log	8.66E-05	0.008662509	0.000185751	1	0	uniform																	
kAspACdc		log	0.000693001	0.069300069	0.000698069	1	0	uniform																	
kPhApcA		log	6.93E-06	0.000693001	8.87E-05	1	0	uniform																	
kDpApc_1		log	0	0.03	0	1	0	uniform																	
kDpApc_2		log	0.003465004	0.34650035	0.129723889	1	0	uniform																	
kSyFox1		log	6.93E-07	6.93E-05	4.29E-05	1	0	uniform																	
kSyFox2		log	0.051975052	5.1975052	0.216048085	1	0	uniform																	
kDeFox1		log	6.93E-07	6.93E-05	9.06E-07	1	0	uniform																	
kDeFox2		log	0.0003465	0.034650035	0.031783526	1	0	uniform																	
kAsEPx		log	0.034650035	3.4650035	0.746642968	1	0	uniform																	
kDiEPx		log	0.003465004	0.34650035	0.003712774	1	0	uniform																	
kAsFPcb		log	0.034650035	3.4650035	0.059669061	1	0	uniform																	
